"filename", "language", "PostCSS", "JavaScript", "JavaScript JSX", "HTML", "XML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\terez\Documents\adaptLearn\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 8, 17
"c:\Users\terez\Documents\adaptLearn\frontend\eslint.config.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\terez\Documents\adaptLearn\frontend\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\terez\Documents\adaptLearn\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 3685, 0, 1, 3686
"c:\Users\terez\Documents\adaptLearn\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 29, 0, 1, 30
"c:\Users\terez\Documents\adaptLearn\frontend\public\favicon.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\terez\Documents\adaptLearn\frontend\public\icons.svg", "XML", 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\terez\Documents\adaptLearn\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"c:\Users\terez\Documents\adaptLearn\frontend\src\api.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\terez\Documents\adaptLearn\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\terez\Documents\adaptLearn\frontend\src\assets\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\terez\Documents\adaptLearn\frontend\src\components\AttemptBanner.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\terez\Documents\adaptLearn\frontend\src\components\ExplanationCard.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"c:\Users\terez\Documents\adaptLearn\frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 122, 0, 0, 0, 0, 1, 9, 132
"c:\Users\terez\Documents\adaptLearn\frontend\src\components\QuizCard.jsx", "JavaScript JSX", 0, 0, 117, 0, 0, 0, 0, 3, 17, 137
"c:\Users\terez\Documents\adaptLearn\frontend\src\components\RAGRating.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\terez\Documents\adaptLearn\frontend\src\components\SkeletonCard.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\terez\Documents\adaptLearn\frontend\src\components\StyleSelector.jsx", "JavaScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"c:\Users\terez\Documents\adaptLearn\frontend\src\components\TopicInput.jsx", "JavaScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"c:\Users\terez\Documents\adaptLearn\frontend\src\context\ThemeContext.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\terez\Documents\adaptLearn\frontend\src\index.css", "PostCSS", 100, 0, 0, 0, 0, 0, 0, 0, 12, 112
"c:\Users\terez\Documents\adaptLearn\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\Bookmarks.jsx", "JavaScript JSX", 0, 0, 209, 0, 0, 0, 0, 4, 16, 229
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\CourseBuilder.jsx", "JavaScript JSX", 0, 0, 309, 0, 0, 0, 0, 15, 36, 360
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\CourseDetail.jsx", "JavaScript JSX", 0, 0, 641, 0, 0, 0, 0, 15, 53, 709
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\Courses.jsx", "JavaScript JSX", 0, 0, 137, 0, 0, 0, 0, 1, 10, 148
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 334, 0, 0, 0, 0, 10, 41, 385
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\History.jsx", "JavaScript JSX", 0, 0, 271, 0, 0, 0, 0, 12, 30, 313
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\Landing.jsx", "JavaScript JSX", 0, 0, 150, 0, 0, 0, 0, 6, 14, 170
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\Learn.jsx", "JavaScript JSX", 0, 0, 543, 0, 0, 0, 0, 16, 44, 603
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 73, 0, 0, 0, 0, 0, 13, 86
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\Onboarding.jsx", "JavaScript JSX", 0, 0, 246, 0, 0, 0, 0, 3, 26, 275
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\Register.jsx", "JavaScript JSX", 0, 0, 191, 0, 0, 0, 0, 10, 35, 236
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\SessionDetail.jsx", "JavaScript JSX", 0, 0, 229, 0, 0, 0, 0, 11, 21, 261
"c:\Users\terez\Documents\adaptLearn\frontend\src\pages\Settings.jsx", "JavaScript JSX", 0, 0, 395, 0, 0, 0, 0, 11, 52, 458
"c:\Users\terez\Documents\adaptLearn\frontend\src\styles\global.css", "PostCSS", 3914, 0, 0, 0, 0, 0, 0, 228, 669, 4811
"c:\Users\terez\Documents\adaptLearn\frontend\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 4014, 27, 4166, 13, 33, 9, 3714, 347, 1132, 13455
